股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.63,"12,134,000",2380.00
2383,台光電(2383.TW),8.53,"4,863,000",5290.00
2454,聯發科(2454.TW),7.11,"5,448,000",3960.00
3037,欣興(3037.TW),6.46,"20,210,000",992.00
B,台指期貨(B),5.75,N/A,
6669,緯穎(6669.TW),5.53,"2,708,000",6010.00
3017,奇鋐(3017.TW),5.41,"5,801,000",2765.00
6223,旺矽(6223.TW),4.99,"2,443,000",6225.00
2345,智邦(2345.TW),4.76,"6,419,000",2165.00
2327,國巨*(2327.TW),4.60,"25,437,000",573.00
2308,台達電(2308.TW),3.70,"6,706,000",1815.00
3653,健策(3653.TW),3.48,"2,375,000",4135.00
8046,南電(8046.TW),3.44,"9,519,000",1130.00
3711,日月光投控(3711.TW),3.42,"17,439,000",630.00
2303,聯電(2303.TW),3.41,"87,718,000",123.00
3665,貿聯-KY(3665.TW),3.40,"4,616,848",2190.00
6274,台燿(6274.TW),2.65,"5,499,000",1460.00
5274,信驊(5274.TW),2.49,"454,900",16540.00
2368,金像電(2368.TW),1.64,"5,000,000",926.00
6805,富世達(6805.TW),1.15,"2,053,000",1755.00
8210,勤誠(8210.TW),0.93,"2,497,000",1075.00
2449,京元電子(2449.TW),0.92,"11,295,450",248.50
6187,萬潤(6187.TW),0.50,"1,334,000",1090.00
2360,致茂(2360.TW),0.39,"572,000",2030.00
4979,華星光(4979.TW),0.31,"1,874,000",536.00
4958,臻鼎-KY(4958.TW),0.27,"1,682,000",470.50
1590,亞德客-KY(1590.TW),0.27,"528,000",1570.00
8996,高力(8996.TW),0.25,"712,000",1075.00
6510,精測(6510.TW),0.24,"261,000",2845.00
6278,台表科(6278.TW),0.17,"3,250,000",171.50
2408,南亞科(2408.TW),0.14,"940,000",502.00
6271,同欣電(6271.TW),0.14,"2,224,000",197.00
6191,精成科(6191.TW),0.11,"3,988,000",87.20
3376,新日興(3376.TW),0.11,"1,741,000",183.50
3264,欣銓(3264.TW),0.10,"1,508,000",222.50
6515,穎崴(6515.TW),0.05,"23,000",6830.00
4966,譜瑞-KY(4966.TW),0.03,"140,000",600.00
2002,中鋼(2002.TW),0.03,"5,163,000",19.65
2313,華通(2313.TW),0.00,"1,000",215.00
2317,鴻海(2317.TW),0.00,"1,000",264.50
2439,美律(2439.TW),0.00,"1,000",82.30
2382,廣達(2382.TW),0.00,"1,000",313.50
2481,強茂(2481.TW),0.00,"5,000",137.50
3008,大立光(3008.TW),0.00,"1,000",4400.00
3661,世芯-KY(3661.TW),0.00,"1,000",3800.00
3443,創意(3443.TW),0.00,"1,000",4530.00
3533,嘉澤(3533.TW),0.00,"1,000",1960.00
5347,世界(5347.TW),0.00,"1,000",157.50
6488,環球晶(6488.TW),0.00,"1,000",854.00
8150,南茂(8150.TW),0.00,"1,000",92.90
8358,金居(8358.TW),0.00,"1,000",346.00
