股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),7.82,"90,000",2400.00
2383,台光電(2383.TW),7.60,"34,000",6350.00
3037,欣興(3037.TW),7.03,"190,000",1120.00
3017,奇鋐(3017.TW),6.80,"58,000",3150.00
6223,旺矽(6223.TW),6.30,"27,000",5800.00
3443,創意(3443.TW),5.94,"30,000",5850.00
2454,聯發科(2454.TW),4.88,"32,000",4050.00
6274,台燿(6274.TW),4.56,"75,000",1600.00
2408,南亞科(2408.TW),4.46,"240,000",524.00
8046,南電(8046.TW),4.31,"91,000",1295.00
3665,貿聯-KY(3665.TW),3.99,"50,000",2135.00
3081,聯亞(3081.TW),3.48,"37,800",2790.00
6805,富世達(6805.TW),3.40,"52,000",1925.00
3653,健策(3653.TW),3.17,"18,000",5340.00
7769,鴻勁(7769.TW),2.87,"12,000",6750.00
2455,全新(2455.TW),2.82,"205,000",417.00
6683,雍智科技(6683.TW),2.58,"52,000",1325.00
2345,智邦(2345.TW),2.34,"28,000",2290.00
3363,上詮(3363.TW),1.97,"92,729",624.00
6515,穎崴(6515.TW),1.96,"8,000",6610.00
2308,台達電(2308.TW),1.91,"28,000",1885.00
6739,竹陞科技(6739.TW),1.83,"50,000",1025.00
8358,金居(8358.TW),1.77,"114,000",419.50
8996,高力(8996.TW),1.62,"35,000",1215.00
3231,緯創(3231.TW),1.14,"162,000",187.00
5274,信驊(5274.TW),0.19,300,17020.00
