股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.68,"90,000",2290.00
3017,奇鋐(3017.TW),7.97,"86,000",2200.00
2383,台光電(2383.TW),6.44,"34,000",4495.00
6223,旺矽(6223.TW),6.37,"27,000",5600.00
3037,欣興(3037.TW),6.35,"190,000",794.00
2408,南亞科(2408.TW),4.00,"240,000",395.50
3443,創意(3443.TW),3.88,"24,000",3835.00
3665,貿聯-KY(3665.TW),3.72,"50,000",1765.00
6274,台燿(6274.TW),3.70,"75,000",1170.00
8046,南電(8046.TW),3.68,"76,000",1150.00
8155,博智(8155.TW),3.33,"262,000",302.00
3081,聯亞(3081.TW),3.29,"52,800",1480.00
2327,國巨*(2327.TW),3.27,"111,000",699.00
6139,亞翔(6139.TW),3.23,"96,000",799.00
6488,環球晶(6488.TW),2.87,"55,000",1240.00
3167,大量(3167.TW),2.84,"88,000",766.00
6683,雍智科技(6683.TW),2.66,"52,000",1215.00
2345,智邦(2345.TW),2.46,"28,000",2090.00
2455,全新(2455.TW),2.43,"205,000",282.00
3653,健策(3653.TW),2.43,"18,000",3210.00
2454,聯發科(2454.TW),2.41,"17,000",3370.00
8028,昇陽半導體(8028.TW),2.33,"176,000",315.00
4764,雙鍵(4764.TW),2.13,"171,000",296.00
3363,上詮(3363.TW),1.97,"92,729",504.00
8358,金居(8358.TW),1.91,"114,000",398.50
6271,同欣電(6271.TW),1.82,"213,000",203.00
6515,穎崴(6515.TW),1.28,"5,000",6055.00
5274,信驊(5274.TW),0.16,300,12950.00
