股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),14.25,"3,650,000",2310.00
2327,國巨*(2327.TW),8.88,"6,150,000",855.00
2383,台光電(2383.TW),6.53,"800,000",4830.00
8299,群聯(8299.TW),5.58,"1,430,000",2310.00
2408,南亞科(2408.TW),5.06,"8,000,000",374.00
2454,聯發科(2454.TW),5.01,"710,000",4180.00
3037,欣興(3037.TW),4.88,"3,200,000",902.00
6223,旺矽(6223.TW),4.05,"370,000",6485.00
3017,奇鋐(3017.TW),3.66,"900,000",2405.00
2345,智邦(2345.TW),3.55,"900,000",2335.00
2308,台達電(2308.TW),3.44,"920,000",2215.00
5274,信驊(5274.TW),3.43,"110,000",18445.00
7769,鴻勁(7769.TW),3.29,"270,000",7210.00
6274,台燿(6274.TW),3.09,"1,280,000",1430.00
2059,川湖(2059.TW),3.04,"260,000",6910.00
6669,緯穎(6669.TW),2.87,"350,000",4850.00
3665,貿聯-KY(3665.TW),2.15,"550,000",2310.00
8046,南電(8046.TW),2.01,"1,450,000",819.00
8210,勤誠(8210.TW),1.99,"800,000",1475.00
3042,晶技(3042.TW),1.97,"5,200,000",224.50
2368,金像電(2368.TW),1.96,"880,000",1320.00
3189,景碩(3189.TW),1.96,"1,900,000",610.00
4958,臻鼎-KY(4958.TW),1.87,"2,000,000",552.00
8996,高力(8996.TW),1.82,"940,000",1145.00
6805,富世達(6805.TW),1.67,"540,000",1825.00
6515,穎崴(6515.TW),0.02,"1,000",9590.00
3711,日月光投控(3711.TW),0.01,"9,000",590.00
3653,健策(3653.TW),0.01,"1,000",3690.00
2382,廣達(2382.TW),0.01,"9,000",372.00
6510,精測(6510.TW),0.01,"1,000",3610.00
2360,致茂(2360.TW),0.00,"1,000",2295.00
2313,華通(2313.TW),0.00,"9,000",263.00
2317,鴻海(2317.TW),0.00,"9,000",260.50
2449,京元電子(2449.TW),0.00,"9,000",282.00
2603,長榮(2603.TW),0.00,"9,000",228.00
2344,華邦電(2344.TW),0.00,"9,000",172.00
5347,世界(5347.TW),0.00,"9,000",169.50
2337,旺宏(2337.TW),0.00,"9,000",146.50
2404,漢唐(2404.TW),0.00,"1,000",1310.00
2881,富邦金(2881.TW),0.00,"9,000",122.00
2882,國泰金(2882.TW),0.00,"9,000",100.50
3231,緯創(3231.TW),0.00,"9,000",156.00
3324,雙鴻(3324.TW),0.00,"1,000",1055.00
2885,元大金(2885.TW),0.00,"9,000",63.90
2891,中信金(2891.TW),0.00,"9,000",67.60
3044,健鼎(3044.TW),0.00,"1,000",497.00
1519,華城(1519.TW),0.00,"1,000",791.00
2412,中華電(2412.TW),0.00,"1,000",145.00
3045,台灣大(3045.TW),0.00,"1,000",119.50
3036,文曄(3036.TW),0.00,"1,000",228.50
