股票代號,個股名稱,投資比例(%),持有股數,Price
5536,聖暉*(5536.TW),9.55,"3,735,000",1245.00
2330,台積電(2330.TW),9.02,"1,967,000",2370.00
2454,聯發科(2454.TW),6.55,"862,000",3910.00
6139,亞翔(6139.TW),5.28,"3,067,000",955.00
6223,旺矽(6223.TW),3.91,"307,000",6060.00
2345,智邦(2345.TW),3.73,"799,000",2340.00
4958,臻鼎-KY(4958.TW),3.58,"3,147,000",573.00
3105,穩懋(3105.TW),3.44,"4,143,000",412.00
2383,台光電(2383.TW),3.38,"328,000",5450.00
2360,致茂(2360.TW),3.28,"823,000",2080.00
2303,聯電(2303.TW),2.88,"8,964,000",164.00
2059,川湖(2059.TW),2.51,"183,000",7110.00
6669,緯穎(6669.TW),2.47,"294,000",4580.00
3491,昇達科(3491.TW),2.33,"967,000",1310.00
6488,環球晶(6488.TW),2.09,"1,140,000",915.00
6257,矽格(6257.TW),2.04,"4,657,000",224.50
3264,欣銓(3264.TW),1.95,"4,628,000",215.50
3008,大立光(3008.TW),1.85,"200,000",4380.00
3017,奇鋐(3017.TW),1.80,"407,000",2300.00
3583,辛耘(3583.TW),1.77,"1,113,000",861.00
2472,立隆電(2472.TW),1.74,"2,356,000",412.50
2327,國巨*(2327.TW),1.69,"849,000",1040.00
2467,志聖(2467.TW),1.59,"1,450,000",569.00
2316,楠梓電(2316.TW),1.52,"3,375,000",210.00
1785,光洋科(1785.TW),1.47,"5,491,000",140.50
2377,微星(2377.TW),1.46,"5,663,000",139.00
6274,台燿(6274.TW),1.36,"439,000",1555.00
6531,愛普*(6531.TW),1.35,"694,000",980.00
8016,矽創(8016.TW),1.34,"2,198,000",317.00
3711,日月光投控(3711.TW),1.24,"1,002,000",627.00
7769,鴻勁(7769.TW),1.17,"92,000",6395.00
3702,大聯大(3702.TW),1.12,"5,380,000",104.50
8996,高力(8996.TW),1.01,"376,000",1475.00
6147,頎邦(6147.TW),0.98,"2,300,000",211.00
3036,文曄(3036.TW),0.97,"2,290,000",209.00
2368,金像電(2368.TW),0.91,"389,000",1155.00
6278,台表科(6278.TW),0.82,"2,184,000",194.00
2376,技嘉(2376.TW),0.66,"1,060,000",325.00
6239,力成(6239.TW),0.43,"700,000",311.00
6805,富世達(6805.TW),0.39,"121,000",1625.00
2351,順德(2351.TW),0.35,"900,000",197.50
2451,創見(2451.TW),0.28,"519,000",275.00
5274,信驊(5274.TW),0.28,"9,000",15210.00
2885,元大金(2885.TW),0.27,"2,114,420",65.70
6187,萬潤(6187.TW),0.19,"91,000",980.00
3376,新日興(3376.TW),0.14,"359,000",194.50
6177,達麗(6177.TW),0.02,"194,350",45.30
3443,創意(3443.TW),0.01,"1,000",4420.00
2886,兆豐金(2886.TW),0.00,"1,000",46.20
4441,振大環球(4441.TW),0.00,"4,000",185.50
3706,神達(3706.TW),0.00,"1,400",86.40
2881,富邦金(2881.TW),0.00,250,128.50
1519,華城(1519.TW),0.00,600,783.00
8046,南電(8046.TW),0.00,"1,000",1080.00
8358,金居(8358.TW),0.00,"1,000",546.00
