股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),18.44,"14,200,000",2400.00
2303,聯電(2303.TW),5.60,"72,400,000",141.00
2327,國巨*(2327.TW),5.09,"9,900,000",950.00
3037,欣興(3037.TW),4.70,"8,960,000",981.00
3017,奇鋐(3017.TW),4.28,"3,250,000",2370.00
2344,華邦電(2344.TW),3.93,"38,000,000",197.00
2383,台光電(2383.TW),3.71,"1,350,000",5120.00
2368,金像電(2368.TW),3.39,"4,700,000",1345.00
6223,旺矽(6223.TW),3.17,"900,000",6445.00
2454,聯發科(2454.TW),3.13,"1,280,000",4560.00
2308,台達電(2308.TW),2.94,"2,430,000",2230.00
3711,日月光投控(3711.TW),2.87,"8,900,000",592.00
2345,智邦(2345.TW),2.79,"2,100,000",2520.00
6669,緯穎(6669.TW),2.12,"790,000",4880.00
4958,臻鼎-KY(4958.TW),1.94,"6,020,000",624.00
3653,健策(3653.TW),1.74,"830,000",3785.00
3533,嘉澤(3533.TW),1.56,"1,240,000",2295.00
2337,旺宏(2337.TW),1.42,"16,350,000",166.50
3665,貿聯-KY(3665.TW),1.35,"1,090,000",2120.00
6274,台燿(6274.TW),1.30,"1,520,000",1610.00
3443,創意(3443.TW),1.13,"430,000",4920.00
7769,鴻勁(7769.TW),1.10,"279,000",7360.00
6515,穎崴(6515.TW),1.09,"200,000",9945.00
2360,致茂(2360.TW),1.04,"840,000",2325.00
5347,世界(5347.TW),0.95,"9,911,000",171.50
8996,高力(8996.TW),0.92,"1,334,000",1380.00
6488,環球晶(6488.TW),0.88,"1,700,000",1045.00
6442,光聖(6442.TW),0.87,"830,000",1875.00
3081,聯亞(3081.TW),0.73,"570,000",2280.00
6147,頎邦(6147.TW),0.72,"5,600,000",227.50
3529,力旺(3529.TW),0.68,"390,000",3200.00
8358,金居(8358.TW),0.58,"1,710,000",632.00
6805,富世達(6805.TW),0.54,"570,000",1725.00
8210,勤誠(8210.TW),0.53,"680,000",1350.00
8046,南電(8046.TW),0.51,"1,080,000",902.00
3189,景碩(3189.TW),0.50,"1,380,000",642.00
1303,南亞(1303.TW),0.48,"7,550,000",115.00
2317,鴻海(2317.TW),0.47,"3,200,000",269.00
5274,信驊(5274.TW),0.44,"45,000",18155.00
8299,群聯(8299.TW),0.44,"350,000",2375.00
3583,辛耘(3583.TW),0.40,"900,000",817.00
4966,譜瑞-KY(4966.TW),0.33,"900,000",660.00
6196,帆宣(6196.TW),0.31,"1,000,000",541.00
1560,中砂(1560.TW),0.31,"800,000",
3105,穩懋(3105.TW),0.27,"957,000",493.00
3211,順達(3211.TW),0.26,"1,100,000",
4979,華星光(4979.TW),0.22,"748,000",
2049,上銀(2049.TW),0.18,"1,010,000",324.50
2455,全新(2455.TW),0.09,"450,000",405.50
2481,強茂(2481.TW),0.00,"1,000",140.00
